"","BLP.model.name","BLP.model.id","BLP.firm.id","BLP.cdid","BLP.id","BLP.price","BLP.mpd","BLP.air","BLP.mpg","BLP.space","BLP.hpwt","BLP.trend","BLP.share","BLP.outshr","BLP.y"
"14","CDFLTW",92,19,1,149,7.40648171451169,1.89259615384615,0,1.701,1.832,0.716510903426791,0,0.000332863399124123,0.880106290119383,-0.329678170708506
"15","CVVEGA",150,19,1,150,-6.60092569289571,2.21192307692308,0,1.988,1.122,0.419384902143523,0,0.00400493430919671,0.880106290119383,2.15787209348169
"16","CVNOVA",146,19,1,151,-5.82314791511794,1.80247252747253,0,1.62,1.387,0.487231182795699,0,0.00353280040794289,0.880106290119383,2.03243578842751
"17","CVCHEV",135,19,1,153,-5.15154297684633,1.68230769230769,0,1.512,1.5352,0.451713395638629,0,0.00502996580478733,0.880106290119383,2.38575810112949
"18","CVCAMA",130,19,1,158,-4.54907384104386,1.62,0,1.456,1.41,0.468648998060763,0,0.00181179134921111,0.880106290119383,1.36466096684255
"19","CVMNTC",143,19,1,160,-3.32685161882164,1.60442307692308,0,1.442,1.5732,0.702408256880734,0,0.00218649889015538,0.880106290119383,1.55264649957509
"20","CVBISC",129,19,1,161,-4.11697507561176,1.4175,0,1.274,1.736,0.388531618435155,0,0.000380301757753914,0.880106290119383,-0.196445326745408
"21","CVBELA",128,19,1,163,-3.77870347067349,1.4175,0,1.274,1.736,0.388531618435155,0,0.000731687563741076,0.880106290119383,0.457943233666876
"22","CVIMPA",140,19,1,165,-3.38858001388337,1.40637362637363,0,1.264,1.736,0.38563829787234,0,0.00865848281240626,0.880106290119383,2.92888442764764
"23","CVCAPR",131,19,1,167,-1.5540121126488,1.46311813186813,0,1.315,1.736,0.631188118811881,0,0.00208878756974024,0.880106290119383,1.50692870276954
"24","CVCORV",139,19,1,169,1.90030887500552,1.87256868131868,0,1.683,1.2627,0.843222985633979,0,0.000357999880016798,0.880106290119383,-0.25687771243614
"25","CRNEWP",121,16,1,170,-1.41574050771053,1.52876373626374,0,1.374,1.8,0.659314313114361,0,0.00103780970664107,0.880106290119383,0.807457356295838
"26","CR300 ",103,16,1,171,-0.188580013883369,1.65782967032967,0,1.49,1.8,0.775283499190002,0,0.000119683244345792,0.880106290119383,-1.35256174132516
"27","CRNEWY",122,16,1,172,0.362037270067249,1.89370879120879,0,1.702,1.8,0.77277970011534,0,0.000338667586537885,0.880106290119383,-0.312391308066374
"28","DGCOLT",159,16,1,173,-6.83549359413028,2.33097527472527,0,2.095,1.0168,0.495049504950495,0,0.000425655408242846,0.880106290119383,-0.0837802455940109
"29","DGDART",162,16,1,177,-5.71203680400683,1.94934065934066,0,1.752,1.379,0.431034482758621,0,0.00312083808266843,0.880106290119383,1.90844649728435
"30","DGCHLN",157,16,1,179,-5.02808618672287,1.65449175824176,0,1.487,1.4784,0.413907284768212,0,0.000440278361029456,0.880106290119383,-0.0500031981040623
"31","DGCORN",161,16,1,181,-4.90462939659942,1.61443681318681,0,1.451,1.6146,0.446841294298921,0,0.00184694642750015,0.880106290119383,1.38387861094701
"32","DGCHAR",156,16,1,184,-5.07746890277226,1.54434065934066,0,1.388,1.5862,0.451010886469673,0,6.01715759793629e-05,0.880106290119383,-2.04021028268719
"33","DGPOLA",171,16,1,186,-3.618209643513,1.37855769230769,0,1.239,1.768,0.386151797603196,0,0.00107687923690683,0.880106290119383,0.844412178032555
"34","DGMONA",169,16,1,188,-1.33425902622905,1.55657967032967,0,1.399,1.768,0.679012345679012,0,0.000273936648869158,0.880106290119383,-0.524513492539633
"35","FDPINT",229,18,1,190,-7.02314791511794,2.26644230769231,0,2.037,1.141,0.384812724474089,0,0.00492343571899934,0.880106290119383,2.36435151895819
"36","FDMAVE",226,18,1,192,-6.24290100153769,2.13070054945055,0,1.915,1.3277,0.384172109104879,0,0.00371387005819185,0.880106290119383,2.08241939058814
"37","FDTORI",238,18,1,194,-5.16388865585868,1.71123626373626,0,1.538,1.5939,0.464297150176113,0,0.00403032575439439,0.880106290119383,2.16419212034172
"38","FDMUST",228,18,1,197,-4.57376519906855,1.73237637362637,0,1.557,1.425,0.49776862341229,0,0.00184373687683724,0.880106290119383,1.38213933872703
"39","FDCUST",211,18,1,201,-3.64290100153769,1.45866758241758,0,1.311,1.736,0.380952380952381,0,0.000509103725478433,0.880106290119383,0.0952414149667318
"40","FDGALA",218,18,1,203,-2.88734544598213,1.44309065934066,0,1.297,1.736,0.376850605652759,0,0.00330811686363909,0.880106290119383,1.96672401941275
"41","FDLTD ",222,18,1,205,-2.05524668055003,1.44754120879121,0,1.301,1.736,0.602863602110023,0,0.00481512088307637,0.880106290119383,2.34210606574841
"42","FDTHNB",235,18,1,207,1.31265455401786,2.05059065934066,0,1.843,1.677,0.820232399179768,0,0.000577254184414182,0.880106290119383,0.220872333397042
"43","LCCONT",277,18,1,209,6.55709899846231,2.07951923076923,0,1.869,1.8,0.719637223974763,0,0.000536954826324315,0.880106290119383,0.148503604981121
"44","LCMRKI",280,18,1,210,9.99907430710428,1.97048076923077,0,1.771,1.736,0.729562262642415,0,0.000447357369968204,0.880106290119383,-0.0340526031053301
"45","MCCOME",320,18,1,212,-6.12438248301917,2.12736263736264,0,1.912,1.3419,0.382848392036753,0,0.000935464035035095,0.880106290119383,0.703632336642483
"46","MCMONT",330,18,1,214,-4.90216026079695,1.64892857142857,0,1.482,1.638,0.449194547707559,0,0.000861284420181175,0.880106290119383,0.62101442321837
"47","MCCOUG",321,18,1,216,-3.64043186573522,1.65782967032967,0,1.49,1.4972,0.720504353047133,0,0.000747600335952967,0.880106290119383,0.479458161268422
"48","MCMONT",330,18,1,217,-2.23549359413028,1.53321428571429,0,1.378,1.8,0.595681310498883,0,0.000468909352690623,0.880106290119383,0.0129991082323828
"49","MCMARQ",327,18,1,218,-0.714505939809294,1.63001373626374,0,1.465,1.8,0.598251265531523,0,0.00112779710840482,0.880106290119383,0.890611183756123
"50","ODCUTL",376,19,1,221,-4.35648124845127,1.86478021978022,0,1.676,1.6016,0.445879458794588,0,0.00376657267982482,0.880106290119383,2.09651039977394
"51","ODDELT",377,19,1,224,-1.9219133472167,1.7301510989011,0,1.555,1.768,0.578313253012048,0,0.00170004199412082,0.880106290119383,1.30099786847505
"52","OD98  ",370,19,1,226,0.218827393524037,1.86255494505495,0,1.674,1.7933,0.716364450414148,0,0.00169920211170436,0.880106290119383,1.30050371012254
"53","ODTORN",385,19,1,227,1.71265455401787,1.92041208791209,0,1.726,1.76,0.773993808049536,0,0.00058073369728238,0.880106290119383,0.226881935734282
"54","PLVALA",421,16,1,231,-5.85524668055004,1.85254120879121,0,1.665,1.3608,0.440917107583774,0,0.00369573759673646,0.880106290119383,2.07752506999904
"55","PLBARC",405,16,1,233,-5.20833310030312,1.66784340659341,0,1.499,1.4025,0.415282392026578,0,0.000288649589057532,0.880106290119383,-0.47219690585267
"56","PLSATL",418,16,1,236,-5.01080223610559,1.6021978021978,0,1.44,1.6195,0.446291166512773,0,0.00172550842881997,0.880106290119383,1.3158666636945
"57","PLFURY",410,16,1,240,-3.99351828548831,1.4175,0,1.274,1.728,0.39136302294197,0,0.000429554862319275,0.880106290119383,-0.0746608951028733
"58","PTVNTU",466,19,1,243,-5.618209643513,1.74684065934066,0,1.57,1.4235,0.62018102581294,0,0.000718339432479453,0.880106290119383,0.439531840836172
"59","PTLEMA",459,19,1,245,-4.53919729783399,1.65782967032967,0,1.49,1.5939,0.449055435119232,0,0.00244440278361029,0.880106290119383,1.66414574810231
"60","PTFIRB",452,19,1,248,-4.23796272993275,1.60442307692308,0,1.442,1.4208,0.458280657395702,0,0.000791079248905153,0.880106290119383,0.535987787310217
"61","PTCATL",450,19,1,250,-2.45277754474757,1.46979395604396,0,1.321,1.768,0.613195977434388,0,0.00240719299298098,0.880106290119383,1.64880625076474
"62","PTBNNV",448,19,1,251,-1.36635779166115,1.53432692307692,0,1.379,1.8,0.664609541894137,0,0.000606215129881817,0.880106290119383,0.269824559188597
"63","PTGRNP",457,19,1,253,-0.509567668204358,1.73348901098901,0,1.558,1.6401,0.776598498576236,0,0.00105856680064791,0.880106290119383,0.827260833679513
"64","ADSUPE",15,7,1,1474,-4.11944421141423,2.20190934065934,0,1.979,1.1136,0.465766185374942,0,3.76447297378367e-05,0.880106290119383,-2.50921739964319
"65","AD100L",4,7,1,1475,-2.88487631017967,1.98271978021978,0,1.782,1.2627,0.487908358082308,0,0.000281015657807907,0.880106290119383,-0.498999974170504
"66","CPSC20",100,25,1,1478,-5.72438248301917,2.33208791208791,0,2.096,1.092,0.373878364905284,0,0.000636525886375907,0.880106290119383,0.318614723358028
"67","DTCB11",185,2,1,1479,-7.47499976696979,2.79717032967033,0,2.514,0.906,0.428481411468179,0,0.000798278241046254,0.880106290119383,0.545046845979626
"68","DTPL51",199,2,1,1480,-6.52685161882164,2.47005494505495,0,2.22,0.992,0.439350525310411,0,0.00157617433559302,0.880106290119383,1.22534551964292
"69","FT850 ",243,17,1,1481,-7.9219133472167,2.78938186813187,0,2.507,0.7896,0.277777777777778,0,3.75097486351911e-05,0.880106290119383,-2.5128095008914
"70","FT124 ",239,17,1,1482,-6.62314791511794,2.4389010989011,0,2.192,1.0368,0.37593984962406,0,9.85811986321915e-05,0.880106290119383,-1.54652980350544
"71","HD600 ",255,3,1,1484,-8.31697507561176,2.83611263736264,0,2.549,0.8586,0.24375,0,0.000142615033895255,0.880106290119383,-1.17726143422957
"72","MZ616 ",347,4,1,1485,-6.34166643363646,2.54237637362637,0,2.285,1.0106,0.436724565756824,0,4.50386945827584e-05,0.880106290119383,-2.32988836378569
"73","MB220/",293,9,1,1487,1.35462986265984,1.8581043956044,0,1.67,1.295,0.409722222222222,0,4.06143139960406e-05,0.880106290119383,-2.43328979773685
"74","MB2200",294,9,1,1488,1.61882739352404,1.82027472527473,0,1.636,1.295,0.398514015535292,0,9.02273681684564e-05,0.880106290119383,-1.63507756613934
"75","MB256/",299,9,1,1489,3.98672862809194,1.53098901098901,0,1.376,1.295,0.525259284041485,0,9.95560621512988e-05,0.880106290119383,-1.5366894394891
"76","MB280S",304,9,1,1491,6.68055578858576,1.65004120879121,0,1.483,1.183,0.622621930127983,0,0.00021491991121243,0.880106290119383,-0.767144910946799
"77","OP36  ",390,26,1,1492,-7.06265408795744,2.61247252747253,0,2.348,1.053,0.333531864204884,0,3.29803827464155e-05,0.880106290119383,-2.64149744121426
"78","PG504 ",393,14,1,1493,-3.17376519906855,2.08730769230769,0,1.876,1.1682,0.364356435643564,0,5.34825124482573e-05,0.880106290119383,-2.15805563334593
"79","PS914 ",428,12,1,1494,-2.88487631017967,2.28090659340659,0,2.05,1.0205,0.430816016218956,0,0.000157942887995681,0.880106290119383,-1.07517686438842
"80","PS911 ",424,12,1,1496,4.27561751698083,1.95267857142857,0,1.755,1.0496,0.63449508489723,0,7.99088127662127e-05,0.880106290119383,-1.75652421954879
"81","RNR10 ",471,24,1,1497,-7.20586396450065,2.55350274725275,0,2.295,1.002,0.293654955427373,0,0.000110474533565301,0.880106290119383,-1.432625334764
"82","SA99  ",479,11,1,1498,-3.42808618672288,2.12291208791209,0,1.908,1.1352,0.349397590361446,0,3.51850740896275e-05,0.880106290119383,-2.57678840255559
"83","TYCORO",503,1,1,1501,-6.84043186573522,2.58465659340659,0,2.323,0.948,0.450127877237852,0,0.0017462805207271,0.880106290119383,1.32783302459832
"84","TYCORO",503,1,1,1503,-6.45277754474757,2.38883241758242,0,2.147,1.0354,0.497695852534562,0,0.00101772751814746,0.880106290119383,0.787917133691619
"85","TYCRMK",506,1,1,1504,-6.13178989042658,2.29870879120879,0,2.066,1.1008,0.467532467532468,0,0.00117121602975583,0.880106290119383,0.928387466033677
"86","TYCROW",508,1,1,1505,-4.72685161882164,1.77354395604396,0,1.594,1.2395,0.387858347386172,0,5.90017397564341e-05,0.880106290119383,-2.05984343282001
"87","TYCELI",499,1,1,1506,-5.34660470524139,2.33542582417582,0,2.099,1.0332,0.427312775330396,0,0.000263543103965445,0.880106290119383,-0.563193426673346
"88","VWBEET",540,7,1,1507,-7.20586396450065,2.69258241758242,0,2.42,0.9699,0.319148936170213,0,0.00531786549883016,0.880106290119383,2.44141691611202
"89","VWSQB ",553,7,1,1508,-5.34413556943892,2.48006868131868,0,2.229,1.1008,0.24062933826932,0,0.00120277161197432,0.880106290119383,0.954973485530054
"90","VW411 ",538,7,1,1509,-4.35648124845127,2.0606043956044,0,1.852,1.1946,0.32829373650108,0,0.0003716479692843,0.880106290119383,-0.219463276585882
"91","VV144 ",518,6,1,1510,-3.44043186573522,2.18299450549451,0,1.962,1.2627,0.376114773167894,0,0.000161527386165937,0.880106290119383,-1.05273566161858
"92","VV164 ",519,6,1,1511,-1.52685161882164,2.08285714285714,0,1.872,1.2648,0.441330998248687,0,0.000145344651748755,0.880106290119383,-1.15830253303447
"93","AMGREM",23,15,2,254,-6.9791228693385,2.25326315789474,0,1.946,1.1502,0.400962309542903,1,0.00146786127675785,0.871395129741689,1.16409850264123
"94","AMHORN",24,15,2,256,-6.34275923297487,2.16178947368421,0,1.867,1.278,0.371609067261241,1,0.000795153184568724,0.871395129741689,0.551071577138427
"95","AMJAVL",25,15,2,258,-5.04610851527152,1.96494736842105,0,1.697,1.4592,0.347705146036161,1,0.000383173872910287,0.871395129741689,-0.178974341514976
"96","AMMATA",26,15,2,260,-5.10113243871649,2.13052631578947,0,1.84,1.6068,0.315357931251971,1,0.000532021508842361,0.871395129741689,0.14922071473254
"97","AMAMBS",18,15,2,262,-2.46716114685047,1.66042105263158,0,1.434,1.6536,0.424088210347752,1,0.000438381855210913,0.871395129741689,-0.0443728578306102
"98","BKLSAB",45,19,2,265,-2.29251999852511,1.51105263157895,0,1.305,1.768,0.357057843370626,1,0.00245121683198781,0.871395129741689,1.67687664241181
"99","BKCNTU",40,19,2,266,-0.976730524840898,1.42073684210526,0,1.227,1.768,0.510667271901952,1,0.000457414543376654,0.871395129741689,-0.00187312711211529
"100","BKELCT",41,19,2,267,-0.0628549267547704,1.32694736842105,0,1.146,1.816,0.498338870431894,1,0.00245423510278238,0.871395129741689,1.67810722064011
"101","BKRIVE",50,19,2,268,0.55676229812561,1.36052631578947,0,1.175,1.744,0.575638959244762,1,0.00947276962974902,0.871395129741689,3.02871340301702
"102","CDCALA",86,19,2,269,2.44432210673805,1.27252631578947,0,1.099,1.816,0.468284376330353,1,0.000101287893217682,0.871395129741689,-1.50949631397376
"103","CDDEVI",89,19,2,270,3.52566181965671,1.25284210526316,0,1.082,1.816,0.461990760184796,1,0.00273950564826889,0.871395129741689,1.78806955881795
"104","CDELDR",91,19,2,271,5.53523119764714,1.19494736842105,0,1.032,1.784,0.50192225544639,1,0.000587273446542908,0.871395129741689,0.24802734479435
"105","CDFLTW",92,19,2,272,6.50891540817346,1.25284210526316,0,1.082,1.84,0.452861259777686,1,0.000291145917275937,0.871395129741689,-0.453638628513207
"106","CVVEGA",150,19,2,273,-6.83318985498444,2.39336842105263,0,2.067,1.122,0.370713623725672,1,0.00388596504080526,0.871395129741689,2.13766342976017
"107","CVNOVA",146,19,2,274,-6.0700319602476,2.01473684210526,0,1.74,1.387,0.368879946344735,1,0.00466447378060395,0.871395129741689,2.32026710138679
"108","CVCHEV",135,19,2,276,-5.45519942436243,1.89431578947368,0,1.636,1.5352,0.343320848938826,1,0.00469443671155001,0.871395129741689,2.32667020425732
"109","CVCAMA",130,19,2,281,-5.23031904158731,1.80284210526316,0,1.557,1.41,0.352451137455944,1,0.000687638276362251,0.871395129741689,0.405799734624491
"110","CVMNTC",143,19,2,283,-3.71835731909927,1.85031578947368,0,1.598,1.5732,0.47062179121506,1,0.00296364888426543,0.871395129741689,1.866713315353
"111","CVBISC",129,19,2,284,-4.40735253441027,1.83178947368421,0,1.582,1.76,0.285195747990666,1,0.000228612034988498,0.871395129741689,-0.695436807477842
"112","CVBELA",128,19,2,286,-4.09634774972128,1.58284210526316,0,1.367,1.76,0.285417747794499,1,0.000590980351936235,0.871395129741689,0.254319567452051
"113","CVIMPA",140,19,2,288,-3.70161090761602,1.55389473684211,0,1.342,1.76,0.280040733197556,1,0.00833571669279571,0.871395129741689,2.90084157347997
"114","CVCAPR",131,19,2,290,-2.17051042914712,1.36978947368421,0,1.183,1.76,0.407088122605364,1,0.00268560167616592,0.871395129741689,1.76819686584988
"115","CVCORV",139,19,2,292,1.32948957085288,1.73915789473684,0,1.502,1.2627,0.622083981337481,1,0.000383759944909232,0.871395129741689,-0.177445990308107
"116","CRNEWP",121,16,2,293,-2.0700319602476,1.44042105263158,0,1.244,1.8,0.463980463980464,1,0.00111558804999194,0.871395129741689,0.889673740017465
"117","CRNEWY",122,16,2,294,-0.122663539194964,1.38368421052632,0,1.195,1.8,0.519031141868512,1,0.000250047618349914,0.871395129741689,-0.605811830822493
"118","DGCOLT",159,16,2,295,-6.41931425689831,2.41536842105263,0,2.086,1.0168,0.401548137397194,1,0.000498996351701807,0.871395129741689,0.0851355805593252
"119","DGDART",162,16,2,297,-5.97194583584568,2.16526315789474,0,1.87,1.379,0.350262697022767,1,0.00327773952030007,0.871395129741689,1.96744608920407
"120","DGCHLN",157,16,2,300,-5.08677837173085,1.80631578947368,0,1.56,1.4784,0.358306188925081,1,0.000368712546336317,0.871395129741689,-0.217445870708563
"121","DGCORN",161,16,2,303,-5.25185014206578,1.738,0,1.501,1.6146,0.328358208955224,1,0.00199037376741733,0.871395129741689,1.46861451895818
"122","DGPOLA",171,16,2,308,-3.10591712771171,1.5098947368421,0,1.304,1.76,0.391134289439374,1,0.00119652459304626,0.871395129741689,0.959713257345384
"123","DGMONA",169,16,2,309,-1.96476880235286,1.43347368421053,0,1.238,1.784,0.439698492462312,1,0.000314456931033978,0.871395129741689,-0.376616081431951
"124","FDPINT",229,18,2,311,-7.0724243047452,2.44894736842105,0,2.115,1.141,0.262008733624454,1,0.00630031794405943,0.871395129741689,2.62089217447057
"125","FDMAVE",226,18,2,314,-6.5102233478074,2.70947368421053,0,2.34,1.3277,0.379981464318814,1,0.00335011941216979,0.871395129741689,1.989288065661
"126","FDTORI",238,18,2,316,-5.44323770187439,1.81789473684211,0,1.57,1.696,0.279165442256832,1,0.000830361459905349,0.871395129741689,0.594397895905939
"127","FDMUST",228,18,2,319,-5.3523286109653,2.07842105263158,0,1.795,1.425,0.341732827062478,1,0.00169155030695521,0.871395129741689,1.30593752486362
"128","FDGRAN",220,18,2,321,-4.90735253441027,1.97536842105263,0,1.706,1.425,0.355908776779544,1,0.00433973128598848,0.871395129741689,2.2481045055601
"129","FDCUST",211,18,2,323,-3.99586928082176,1.66968421052632,0,1.442,1.752,0.27680730986294,1,0.000322339599419789,0.871395129741689,-0.351857557578571
"130","FDGLX5",219,18,2,324,-3.29969703201793,1.65231578947368,0,1.427,1.752,0.273572377158035,1,0.00264714070123515,0.871395129741689,1.75377215184895
"131","FDLTD ",222,18,2,327,-2.45519942436243,1.44621052631579,0,1.249,1.752,0.376383763837638,1,0.00437237549632972,0.871395129741689,2.25559852828794
"132","FDTHNB",235,18,2,329,0.901259905781114,1.25052631578947,0,1.08,1.728,0.484793048250629,1,0.000819944030124101,0.871395129741689,0.581772878035896
"133","IMLEBA",266,16,2,330,4.45389148472848,1.33042105263158,1,1.149,1.888,0.454086781029263,1,0.000209828427422309,0.871395129741689,-0.78117301944032
"134","LCCONT",277,18,2,331,5.70748000147489,1.54115789473684,1,1.331,1.8,0.45179507866075,1,0.000656400638818479,0.871395129741689,0.359308128484053
"135","LCMARK",278,18,2,332,8.90843693927394,1.31073684210526,1,1.132,1.768,0.442404006677796,1,0.000727227439890991,0.871395129741689,0.461776071828206
"136","MCCOME",320,18,2,333,-6.02457741479305,2.33663157894737,0,2.018,1.3277,0.534779356768886,1,0.000975472886844149,0.871395129741689,0.755459161618676
"137","MCMONT",330,18,2,335,-4.95998411335764,1.67315789473684,0,1.445,1.6827,0.405327156919514,1,0.00157544944396419,0.871395129741689,1.23483266785242
"138","MCCOUG",321,18,2,337,-4.54610851527152,1.67431578947368,0,1.446,1.4972,0.499695307739183,1,0.00070589441912939,0.871395129741689,0.432002474387819
"139","MCMONT",330,18,2,338,-2.68725684063037,1.42652631578947,0,1.232,1.8,0.394100580270793,1,0.000368653939136423,0.871395129741689,-0.217604834266502
"140","MCMARQ",327,18,2,340,-1.01261569230501,1.55505263157895,0,1.343,1.8,0.474236206110351,1,0.00124363012996147,0.871395129741689,0.998326701961081
"141","ODCUTL",376,19,2,342,-4.42649129039114,1.76,0,1.52,1.6016,0.464711007841998,1,0.00413640825775447,0.871395129741689,2.20011991572484
"142","ODDELT",377,19,2,344,-2.31644344350118,1.496,0,1.292,1.784,0.382135180320038,1,0.00151975795226444,0.871395129741689,1.19884315528205
"143","OD98  ",370,19,2,346,-0.261419520056208,1.43231578947368,0,1.237,1.824,0.505845323741007,1,0.00174397444726085,0.871395129741689,1.33645874861497
"144","ODTORN",385,19,2,347,1.01609244166628,1.37673684210526,0,1.189,1.768,0.550176056338028,1,0.00068076658217462,0.871395129741689,0.395756285995275
"145","PLVALA",421,16,2,351,-6.10830947220932,2.15947368421053,0,1.865,1.3419,0.357142857142857,1,0.00433069112540476,0.871395129741689,2.2460192175705
"146","PLBARC",405,16,2,353,-5.27816593153946,1.84221052631579,0,1.591,1.4025,0.361842105263158,1,0.000251351628547567,0.871395129741689,-0.600610334626474
"147","PLSATL",418,16,2,356,-5.35472095546291,1.76926315789474,0,1.528,1.6195,0.335365853658537,1,0.00187387730582702,0.871395129741689,1.4083017848978
"148","PLFURY",410,16,2,359,-3.47433818034329,1.51568421052632,0,1.309,1.744,0.390625,1,0.000337020702993363,0.871395129741689,-0.307318842266497
"149","PTVNTU",466,19,2,362,-5.89060612292702,2.00894736842105,0,1.735,1.4235,0.369251426653239,1,0.000969626818654672,0.871395129741689,0.749448070489471
"150","PTLEMA",459,19,2,364,-5.02936210378826,1.81210526315789,0,1.565,1.5939,0.336494340776996,1,0.00255852661499465,0.871395129741689,1.71972362682194
"151","PTLMNS",460,19,2,366,-3.65376401766386,1.45084210526316,0,1.253,1.5939,0.398505603985056,1,0.000320346954623375,0.871395129741689,-0.35805856231112
"152","PTFIRB",452,19,2,367,-4.97194583584568,1.83294736842105,0,1.583,1.4208,0.347112653834017,1,0.00261199103309842,0.871395129741689,1.74040485347993
"153","PTCATL",450,19,2,369,-2.87864440043898,1.50410526315789,0,1.299,1.784,0.385170919595571,1,0.000543640386221447,0.871395129741689,0.170824769576289
"154","PTBNNV",448,19,2,370,-1.78773530952989,1.43578947368421,0,1.24,1.816,0.431436567164179,1,0.00141706348624929,0.871395129741689,1.12887883802148
"155","AR2000",29,20,2,1512,-1.58438602723324,2.03673684210526,0,1.759,1.0726,0.528255528255528,1,2.90398675477282e-05,0.871395129741689,-2.75879357502909
"156","AD90  ",11,7,2,1513,-4.11787885019975,2.31231578947368,0,1.997,1.1136,0.419189566837448,1,0.000399818317680327,0.871395129741689,-0.136452965820542
"157","BWBAVR",81,8,2,1516,1.52805416415432,1.88157894736842,0,1.625,1.2765,0.662944870900209,1,0.00039930550468125,0.871395129741689,-0.137736404144166
"158","CPSPOR",102,25,2,1517,-5.71357263010406,2.16873684210526,0,1.873,1.092,0.303889789303079,1,2.33110137580402e-05,0.871395129741689,-2.97853726158124
"159","DTLB11",195,2,2,1519,-7.03414679278348,2.91094736842105,0,2.514,0.906,0.428481411468179,1,0.000962930946066724,0.871395129741689,0.742518498184586
"160","DTPL51",199,2,2,1520,-5.88582143393181,2.60063157894737,0,2.246,0.992,0.450759431651151,1,0.00105976469209242,0.871395129741689,0.838338969924303
"161","FT128 ",241,17,2,1523,-6.95759176886004,2.84263157894737,0,2.455,0.9702,0.279202279202279,1,6.58451890814787e-05,0.871395129741689,-1.94015683717375
"162","MZ808 ",349,4,2,1525,-6.27098889804664,2.76042105263158,0,2.384,1.008,0.357142857142857,1,5.11347819079574e-05,0.871395129741689,-2.19299827472255
"163","MZRX3 ",357,4,2,1527,-4.83558219948205,2.47673684210526,0,2.139,1.008,0.430622009569378,1,8.09951502542087e-05,0.871395129741689,-1.73307392447152
"164","MB220/",293,9,2,1528,3.23140344645097,1.88389473684211,0,1.627,1.295,0.395574924572578,1,3.83584123309549e-05,0.871395129741689,-2.48048934344918
"165","MB2200",294,9,2,1529,3.58068574310169,1.84915789473684,0,1.597,1.295,0.386252045826514,1,8.74419422426045e-05,0.871395129741689,-1.65648814803543
"166","MB250/",298,9,2,1530,5.50652306367585,1.76347368421053,0,1.523,1.295,0.496992719214941,1,4.78967341137859e-05,0.871395129741689,-2.25841588319481
"167","MB280S",304,9,2,1531,10.9730302407093,1.75768421052632,1,1.518,1.3896,0.463673951565269,1,0.000191030168056146,0.871395129741689,-0.875031840434538
"168","OP31  ",389,26,2,1532,-6.85950564445812,2.54505263157895,0,2.198,1.0044,0.39957378795951,1,1.29228875767388e-05,0.871395129741689,-3.56846323391223
"169","PG504 ",393,14,2,1533,-2.82601282149161,2.13863157894737,0,1.847,1.1682,0.388118811881188,1,4.63143397166342e-05,0.871395129741689,-2.29201157770341
"170","PSRDST",442,12,2,1534,-2.77816593153946,2.45705263157895,0,2.122,1.0205,0.430816016218956,1,0.000226795211791769,0.871395129741689,-0.703415744345145
"171","PS911T",427,12,2,1535,5.58307808759929,2.12010526315789,0,1.831,1.0496,0.63677130044843,1,7.67607800618306e-05,0.871395129741689,-1.7867693705108
